ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
Unknown,JTMAB3FV4RD226003,2024,RAV4 Prime SE,DealerHold,False,At dealer,48082,Ice Cap,Black Fabric,2254,Grieco Toyota,https://www.griecotoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
Unknown,JTMAB3FV4RD228401,2024,RAV4 Prime SE,Available,False,At dealer,47679,Silver Sky Metallic,Black Fabric,2209,Riverhead Toyota,https://www.riverheadtoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Owner's Portfolio | Protection Package[installed_msrp] | Weather & Moonroof Package
Unknown,JTMAB3FV5RD217875,2024,RAV4 Prime SE,DealerHold,False,At dealer,49255,Supersonic Red [extra_cost_color],Black Fabric,1486,Don McGill Toyota,https://www.donmcgilltoyota.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Don McGill Protection Package | Door Sill Protectors | MODEL PREMIUM | Mud Guards | Owner's Portfolio | Rear Cargo Organizer | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package | Weather & Moonroof Package
Unknown,JTMAB3FV5RD228813,2024,RAV4 Prime SE,DealerHold,False,At dealer,47209,Magnetic Gray Metallic,Black Fabric,2010,Bobby Rahal Toyota,https://www.bobbyrahaltoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
Unknown,JTMAB3FV5RD229265,2024,RAV4 Prime SE,,False,At dealer,47789,Silver Sky Metallic,Black Fabric,2123,Prestige Toyota,https://www.prestigetoyota-ny.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
Unknown,JTMAB3FV7RD229512,2024,RAV4 Prime SE,DealerHold,False,At dealer,48077,Midnight Black Metallic,Black Fabric,1424,Schaumburg Toyota,https://www.schaumburgtoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package | pRO-TAC Protection And service Package
Unknown,JTMAB3FV8RD230071,2024,RAV4 Prime SE,,False,At dealer,48414,Ice Cap,Black Fabric,1856,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
Unknown,JTMEB3FV0RD218062,2024,RAV4 Prime XSE,Available,False,At dealer,51501,Supersonic Red/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1550,Walker Toyota,https://www.walker-toyota.com,True,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - Pre Delivery Services | Special Color | Theft Deterrent | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
Unknown,JTMEB3FV0RD226937,2024,RAV4 Prime XSE,Available,False,At dealer,50654,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2166,Toyota of Stamford,https://www.toyotaofstamford.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
Unknown,JTMEB3FV0RD231734,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50778,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,339,Wilsonville Toyota,https://www.wilsonvilletoyota.com/,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Weather Package
Unknown,JTMEB3FV0RD233662,2024,RAV4 Prime XSE,,False,At dealer,51742,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1450,Toyota on Western,https://www.toyotaonwestern.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
Unknown,JTMEB3FV1RD222914,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50654,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2321,Down East Toyota,https://www.downeasttoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
Unknown,JTMEB3FV3RD216497,2024,RAV4 Prime XSE,Available,False,At dealer,51018,Blueprint/Midnight Black Metallic Roof,Black Mixed Media,1439,Toyota on Edens,https://www.toyotaonedens.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
Unknown,JTMEB3FV6RD232290,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50829,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2321,Down East Toyota,https://www.downeasttoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
Unknown,JTMEB3FV7RD227521,2024,RAV4 Prime XSE,,False,At dealer,51299,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2138,"Glen Motors, Inc.",https://www.glentoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
Unknown,JTMEB3FV8RD230752,2024,RAV4 Prime XSE,DealerHold,False,At dealer,51114,Blueprint/Midnight Black Metallic Roof,Black Mixed Media,1320,Seeger Toyota of St. Robert,https://www.seegertoyota.net,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
Unknown,JTMEB3FVXRD228792,2024,RAV4 Prime XSE,DealerHold,False,At dealer,51252,Blueprint/Midnight Black Metallic Roof,Black Mixed Media,1390,Jerry Ackerman Toyota,https://www.ackermantoyota.com,False,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Running Boards[installed_msrp]"
Unknown,JTMEB3FVXRD229229,2024,RAV4 Prime XSE,,False,At dealer,50724,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2160,Star Toyota of Bayside,https://www.startoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
Unknown,JTMEB3FVXRD231918,2024,RAV4 Prime XSE,,False,Factory to port,50728,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1475,Toyota of Merrillville,https://www.toyotaofmerrillville.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
